a,29415536.547999997,10,0.2.8,152604,8,https://github.com/axgle/a,2010-05-28T08:29:30.515Z,2010-05-28T08:29:30.515Z
a--,79.789,2,10.25.60,34415,0,,2020-07-11T21:49:15.819Z,2020-07-11T21:49:15.819Z
A-,0,1,0.0.0,35476,0,https://rubygems.org/gems/A,2018-06-12T11:14:23.043Z,2018-06-12T11:14:23.043Z
a0,0,1,0.1.0,9899,0,https://github.com/leo424y/a0,2017-11-24T07:51:56.074Z,2017-11-24T07:51:56.074Z
a0-tzmigration-ruby,129778.401,4,1.0.2,20115,4,http://github.com/a0/a0-tzmigration-ruby,2018-05-31T09:58:03.613Z,2018-05-31T09:58:03.613Z
a1,0,1,0,8272,0,,2022-04-01T18:01:36.984Z,2022-04-01T18:01:36.984Z
a11n,0,1,0.0.0,9130,0,https://github.com/stevendaniels/a11n,2018-09-10T12:14:33.969Z,2018-09-10T12:14:33.969Z
A_123,0,1,1.2.0,21900,0,http://rubygems.org/gems,2015-07-17T05:57:58.337Z,2015-07-17T05:57:58.337Z
a1330ks_bmi,0,1,0.0.1,17216,0,"",2014-11-11T06:14:54.495Z,2014-11-11T06:14:54.495Z
a13g,4187.753,2,0.1.0.beta4,24411,0,http://github.com/kriss/a13g,2010-07-26T11:23:06.343Z,2010-07-26T11:23:06.343Z
a1408nw_Ounennhei,0,1,2.1.3,12318,0,"",2014-11-04T12:02:22.794Z,2014-11-04T12:02:22.794Z
a1409yo_health,246.896,2,0.0.2,17913,0,https://github.com/yuchan-edu/a1409yo_health,2014-11-04T16:55:30.655Z,2014-11-04T16:55:30.655Z
a1412tk_bmi,217662.78650000002,3,0.0.3,22842,0,"",2014-10-30T11:46:41.200Z,2014-10-30T11:46:41.200Z
a1420ks_bmi,0,1,0.1.1,11207,0,"",2015-08-05T16:52:31.236Z,2015-08-05T16:52:31.236Z
a1420ks_my_first_gem,131663.606,2,0.1.1,17307,0,"",2015-07-30T17:11:13.972Z,2015-07-30T17:11:13.972Z
a1425bt,0,1,2.1.3,12921,0,https://rubygems.org/gems/a1425bt,2014-11-04T12:37:39.473Z,2014-11-04T12:37:39.473Z
a1426kt_prime_number,20551.950166666666,7,0.0.7,42586,0,"",2014-11-03T01:50:35.775Z,2014-11-03T01:50:35.775Z
a1436mm_age,7797.1804999999995,3,0.0.3,21578,0,"",2014-11-04T08:03:21.575Z,2014-11-04T08:03:21.575Z
a1437ky_bmi3,0,1,0.0.1,10681,0,"",2014-11-10T10:34:06.341Z,2014-11-10T10:34:06.341Z
a1439ty_bmiV3,1831.4969999999998,3,0.0.3,21293,0,"",2014-11-09T16:25:06.013Z,2014-11-09T16:25:06.013Z
a1447ll_hpbd,58544.187999999995,4,1.0.1,27423,0,"",2014-11-07T13:36:58.688Z,2014-11-07T13:36:58.688Z
a1447ll_mini_test,68508.001,3,0.1.0,21280,0,"",2014-12-01T15:58:14.870Z,2014-12-01T15:58:14.870Z
a1447ll_test,0,1,0.0.1,11430,0,"",2014-11-24T20:04:39.326Z,2014-11-24T20:04:39.326Z
a14z6ch_elapsed_days,108393.9755,5,0.0.5,33167,0,https://github.com/chrhsmt/a14z6ch_elapsed_days,2014-10-30T12:14:22.125Z,2014-10-30T12:14:22.125Z
a14z8fy_tmpcov,0,1,0.0.1,10551,0,http://rubygems.org/gems/hola,2014-11-04T12:12:03.474Z,2014-11-04T12:12:03.474Z
a1501da_birthday,0,1,0.1.0,13374,0,https://github.com/a1501/a1501da_birthday,2015-07-24T11:56:47.275Z,2015-07-24T11:56:47.275Z
a1508ki_ika,0,1,0.1.0,9486,0,https://rubygems.org/profiles/ika0531,2015-07-04T13:10:56.316Z,2015-07-04T13:10:56.316Z
