m,20550020.01511111,19,1.6.2,2911453,376,https://github.com/qrush/m,2011-12-28T05:47:20.635Z
m0nkmaster_cucumber_salad,363790.7546666667,4,0.0.4,14743,0,,2013-05-02T16:07:53.933Z
m0rse_c0de,6449983.657,6,0.3.8,10141,0,,2020-10-06T14:31:48.578Z
m0x_qr,710.9212222222222,10,0.5.10,977,0,https://rubygems.org/gems/m0x_qr,2024-05-11T16:16:03.514Z
m1,0,1,0.3.beta.2,2907,0,http://www.oddtest.net/,2014-01-25T18:55:22.009Z
m18n,0,1,0.1.0,2745,0,https://github.com/JuanitoFatas/m18n,2018-08-11T00:11:35.444Z
m18n_rails,0,1,0.1.0,2743,0,https://github.com/JuanitoFatas/m18n_rails,2018-08-11T00:12:32.794Z
m1_api,360607.4344,6,0.1.1,12805,4,http://github.com/ynotgnef/m1_api,2019-01-05T23:24:40.045Z
m26,5954585.5331666665,7,1.0.1,23505,0,https://github.com/cjoakim/m26,2013-08-29T22:16:59.500Z
m2a,0,1,0.0.1,4842,0,http://github.com/richoH/m2a,2012-05-07T11:41:09.536Z
m2config,6508015.2617500005,13,0.9.1,39948,0,https://github.com/ameuret/m2config,2013-03-21T12:49:34.006Z
m2fm-automatic-clowncar,0,1,0.0.1,3796,0,https://github.com/whistlerbrk/m2fm-automatic-clowncar,2015-01-12T21:20:59.934Z
m2fm-automatic-embed,442380.37166666664,4,0.0.4,12503,1,https://github.com/whistlerbrk/m2fm-automatic-embeds,2015-01-15T18:25:39.796Z
m2fm-automatic-embeds,0,1,0.1.0,3793,1,https://github.com/whistlerbrk/m2fm-automatic-embeds,2015-02-01T07:20:27.630Z
m2fm-autotag-subject,0,1,0.0.1,3789,0,https://github.com/whistlerbrk/m2fm-autotag-subject,2015-01-12T21:20:17.328Z
m2h,0,1,0.2.0,4867,0,https://github.com/arakanema/m2h,2013-12-17T17:07:57.871Z
m2-helper,0,1,0.0.2,5160,0,http://m2.sonymusic.com,2010-09-14T14:04:11.814Z
m2m,381027.3454,6,0.2.9,18839,0,http://m2m.wvv8oo.com/,2016-06-11T12:42:03.169Z
m2m_fast_insert,21459212.944500003,7,0.3.0,26149,2,https://github.com/jphenow/m2m_fast_insert,2012-07-12T16:02:47.753Z
m2m_keygen,3149830.678,12,0.4.7,6828,1,https://github.com/Billcorporate/m2m_keygen_ruby,2022-08-29T14:02:06.506Z
m2r,13844021.924,8,2.1.0,29570,90,http://github.com/perplexes/m2r,2010-10-04T03:49:08.344Z
m2ts_parser,427540.459,2,0.0.2,6701,0,"",2015-02-19T08:38:12.041Z
m2x,6281086.055749999,21,2.8.0,61730,0,http://github.com/attm2x/m2x-ruby,2013-10-25T19:45:20.767Z
m2x-mqtt,5227313.301,5,0.3.0,15057,0,http://github.com/attm2x/m2x-ruby-mqtt,2015-03-16T20:58:34.296Z
m3pi,0,1,0.1.4,3826,0,https://github.com/99-bugs/ruby-m3pi,2016-05-20T19:03:15.318Z
m3ta,6853.121,2,0.1.1,1313,0,https://github.com/braindeaf/m3ta,2023-02-09T14:54:57.891Z
m3u8,4489271.58462963,28,0.8.2,1447406,108,https://github.com/sethdeckard/m3u8,2014-10-06T21:37:44.872Z
m3u8_generator,0,1,0.3.4,4621,0,http://www.ooyala.com,2013-05-21T18:43:29.229Z
m3ugen,423.21500000000003,3,0.0.4,12618,0,http://github.com/hbt/m3ugen,2012-02-10T22:46:35.122Z
m3uzi,4666051.191454546,12,0.5.1,68234,24,http://github.com/zencoder/m3uzi,2010-08-27T15:26:34.630Z
m4assets,42684.271,2,0.1.1,8246,0,http://github.com/tobiassvn/m4assets,2012-12-03T13:09:05.106Z
m4dbi,7045970.136444445,19,0.9.0,69586,18,https://github.com/Pistos/m4dbi,2009-07-25T18:09:56.000Z
m4dh4v45b1n,306080.6030909091,12,0.2.4,18654,7,https://github.com/Madhava-mng/m4dh4v45b1n,2021-06-29T10:21:06.050Z
M4D-juggernaut,40220.93550000001,3,0.5.9.2,12969,0,http://juggernaut.rubyforge.org,2010-07-20T11:22:11.921Z
M500,36466719.9855,5,0.9.6,13353,0,"",2014-06-24T06:47:57.238Z
m7d-merb_has_rails_plugins,0,1,0.1.2,3673,7,http://github.com/ivey/merb_has_rails_plugins,2014-08-11T01:17:38.296Z
m7d-vlad,1.958,2,1.2.0.5,6413,0,http://rubyhitsquad.com/,2014-08-11T01:17:34.361Z
m9,0,1,1.0.0,2164,0,https://rubygems.org/gems/m9,2020-03-17T21:22:26.813Z
m9t,16096013.552363636,23,1.0.0,90650,5,http://github.com/joeyates/m9t,2010-03-11T07:34:45.135Z
ma,0,1,0.1.0,3665,0,https://gitlab.com/kris.leech/ma,2019-11-01T21:55:42.479Z
maac,342049.057,4,1.0.1,7729,0,https://github.com/igorakaamigo/maac,2018-01-25T19:09:32.261Z
maarten_studio_game,0,1,1.0,3488,0,"",2015-01-04T16:52:41.444Z
maas-client,2548961.60925,13,0.3.2,31296,1,https://github.com/itisnotdone/maas-client,2017-07-22T07:58:43.546Z
maasive,0,1,0.0.1,4449,0,"",2011-11-09T23:48:38.546Z
maat,0,1,0.0.1,3480,0,"",2015-03-19T22:54:40.190Z
